#x	Tc	Tg	u	p
0.0	370.5321127909143	300.00000000000006	1.8750596249299172	170000.0
0.25	374.5766684620146	304.57657606743885	1.9135621778225793	169120.66233921316
0.5	379.1491391461926	309.1491391301495	1.9527716501686958	168212.91197138585
0.75	383.72170149605597	313.7217014960532	1.9927532874991325	167276.05458748082
1.0	388.29426386183593	318.29426386183593	2.0335500116568004	166309.36429857402
1.25	392.8668262276186	322.8668262276186	2.0752077084839002	165312.08433470177
1.5	397.4393885934013	327.4393885934013	2.1177755112033743	164283.4246997845
1.75	402.011950959184	332.011950959184	2.1613061121688477	163222.55961268517
2.0	406.5845133249667	336.5845133249667	2.205856111988374	162128.62470947017
2.25	411.15707569074937	341.15707569074937	2.251486411436076	161000.71397781975
2.5	415.72963805653205	345.72963805653205	2.298262652492057	159837.87639030546
2.75	420.30220042231474	350.30220042231474	2.346255715962104	158639.11219829126
3.0	424.8747627880975	354.8747627880975	2.3955422844659866	157403.36884237608
3.25	429.4473251538802	359.4473251538802	2.4462054811990828	156129.53642839892
3.5	434.01988751966286	364.01988751966286	2.498335596833408	154816.44270984863
3.75	438.59244988544555	368.59244988544555	2.552030919315393	153462.84750778408
4.0	443.16501225122823	373.16501225122823	2.6073986842472623	152067.43648773013
4.25	447.737574617011	377.737574617011	2.664556167145622	150628.81419903666
4.5	452.31013698279367	382.31013698279367	2.7236319433349627	149145.49626532648
4.75	456.88269934857635	386.88269934857635	2.784767346789518	147615.9005942167
5.0	461.45526171435904	391.45526171435904	2.8481181661916883	146038.33744959222
5.25	466.0278240801417	396.0278240801417	2.913856625234976	144410.99819919787
5.5	470.6003864459244	400.6003864459244	2.9821737053042563	142731.94251272338
5.75	475.1729488117071	405.1729488117071	3.0532818828411523	140999.08373895567
6.0	479.7455111774898	409.7455111774898	3.1274183719280892	139210.1721324415
6.25	484.3180735432725	414.3180735432725	3.2048489862406266	137362.77552708675
6.5	488.8906359090552	418.8906359090552	3.2858727653705917	135454.25696174148
6.75	493.4631982748379	423.4631982748379	3.370827551184527	133481.7486450462
7.0	498.0357606406206	428.0357606406206	3.460096753975368	131442.1214954155
7.25	502.6083230064033	432.6083230064033	3.5541176208510508	129331.94929569284
7.5	507.18088537218597	437.18088537218597	3.653391417527891	127147.46624495888
7.75	511.75344773796866	441.75344773796866	3.758496070346967	124884.51635000185
8.0	516.3260101037514	446.3260101037514	3.8701020040615144	122538.49264435023
8.25	520.8985724695341	450.8985724695341	3.988992177095272	120104.26360759641
8.5	525.4711348353168	455.4711348353168	4.116087696857021	117576.08331448892
8.75	530.0436972010995	460.04369720109946	4.252480951569633	114947.48067099325
9.0	534.6162595668821	464.61625956688215	4.399479014735232	112211.12143955541
9.25	539.1888219326615	469.18882193266484	4.558661314954057	109358.63437952474
9.5	543.7613842801654	473.7613842983096	4.731957469563383	106380.38935234946
9.75	548.3338480327392	478.3339459201284	4.921754180188647	103265.21004953096
10.0	552.3743962390986	482.90249463130783	5.131002165946268	99999.99999999946

