#Solid temperature at x [m] from FDM
#time [s]	x=2.5	x=5	x=7.5	x=10
60.0	302.92273765535265	302.936449790453	302.9455582128728	302.95146737514
120.0	305.76401411642115	305.81819358487803	305.85438233631976	305.87794130997645
180.0	308.52640794234895	308.6464211141135	308.72691137803776	308.7794853847625
240.0	311.2124015499915	311.42228326511537	311.56357240418134	311.65616240281537
300.0	313.8243854952624	314.146894435001	314.36478234752855	314.50803615551496
360.0	316.3646624591978	316.8213342751749	317.1309486310803	317.33517154742464
420.0	318.8354510459886	319.44664934138376	319.8624697661471	320.1376347064952
480.0	321.2388893952371	322.02385464327415	322.5597358953576	322.915493080961
540.0	323.577038624835	324.55393511349115	325.22312930736916	325.6688155231634
600.0	325.8518861046448	327.0378469884027	327.85302490580045	328.397672361715
660.0	328.06534857620335	329.47651911316166	330.44979065315994	331.1021354649561
720.0	330.21927512286527	331.8708541735214	333.0137879754744	333.78227829189615
780.0	332.31544999851684	334.22172985534405	335.5453721447184	336.43817593730046
840.0	334.35559532045676	336.52999994257056	338.04489262755664	339.06990516709357
900.0	336.34137363654503	338.79649535082746	340.51269341116705	341.6775444470922
960.0	338.27439036924227	341.02202510338924	342.9491133061006	344.2611739651147
1020.0	340.1561961455736	343.2073772531975	345.35448622532056	346.8208756469857
1080.0	341.98828901687745	345.35331975378807	347.72914144255816	349.35673316743436
1140.0	343.7721165748008	347.4606012807184	350.0734038326643	351.8688319553782
1200.0	345.50907796838743	349.52995200881134	352.3875940917093	354.3572591953995
1260.0	347.20052582833864	351.56208434556726	354.67202894501855	356.8221038249304
1320.0	348.8477681006066	353.55769362505976	356.92702133361837	359.26345652769265
1380.0	350.45206979700964	355.5174587634603	359.1528805908046	361.68140972392945
1440.0	352.0146546648405	357.4420428799517	361.34991260381224	364.076057557522
1500.0	353.5367067804423	359.33209388336627	363.5184199628575	366.4474958805183
1560.0	355.01937207011525	361.1882450276994	365.658702098528	368.7958222353164
1620.0	356.4637597629689	363.01111543812067	367.77105541069795	371.12113583429283
1680.0	357.8709437783057	364.8013106092379	369.8557733824207	373.42353753811295
1740.0	359.2419640498152	366.5594228766002	371.9131466916227	375.70312983168554
1800.0	360.5778277928872	368.2860318664607	373.94346330656964	377.96001679898296
1860.0	361.8795107150974	369.98170491725284	375.9470085811379	380.1943040958955
1920.0	363.1479581725577	371.64699748541943	377.92406533506346	382.406098922787
1980.0	364.38408627714006	373.2824535261531	379.8749139344694	384.59550999475033
2040.0	365.5887829557492	374.88860585753514	381.79983236068284	386.7626475120148
2100.0	366.7629089623457	376.46597650548694	383.6990962752622	388.9076231291033
2160.0	367.90729884860554	378.01507703319777	385.572979081513	391.03054992251214
2220.0	369.02276189213745	379.5364088522156	387.4217519771635	393.1315423589604
2280.0	370.1100829851463	381.03046352121066	389.2456840051134	395.21071626233584
2340.0	371.1700234879102	382.4977230296616	391.04504209923084	397.2681887801421
2400.0	372.2033220435002	383.9386600661049	392.8200911250194	399.3040783499658
2460.0	373.2106953612658	385.3537382785328	394.5710939200761	401.31850466502107
2520.0	374.19283896829023	386.7434125177923	396.29831132557973	403.3115886400566
2580.0	375.15042792769077	388.1081290752642	398.0020022207499	405.28345237651837
2640.0	376.0841175299681	389.44832590477716	399.68242354946625	407.2342191274946
