"Time"	"convect"	"energy"	"energyRef"
30	4.6414272568697	175347.94594582	133.9459458208
60	4.6414213873861	175487.67982171	273.6798217117
90	4.641410180487	175627.3052723	413.305272297
120	4.6413938364015	175766.79207486	552.79207486269
150	4.6413695004321	175906.16429566	692.16429565597
180	4.6413348964928	176045.4725094	831.47250939615
210	4.641289458507	176184.72170233	970.72170232938
240	4.6412289959573	176323.91630102	1109.9163010179
270	4.641152084756	176463.05971442	1249.0597144209
300	4.6410554246441	176602.15519886	1388.1551988611
330	4.6409382038196	176741.14057898	1527.1405789822
360	4.6407937374751	176880.00565335	1666.0056533477
390	4.6406187523294	177018.82707267	1804.8270726723
420	4.6404090726328	177157.59567856	1943.5956785591
450	4.640160315255	177296.32612445	2082.3261244513
480	4.6398678178678	177435.03235147	2221.0323514684
510	4.6395262164726	177573.72173721	2359.7217372076
540	4.6391301237376	177712.39382376	2498.3938237633
570	4.6386736443709	177851.05166392	2637.0516639222
600	4.6381505927262	177989.69238296	2775.6923829588
630	4.6375545954967	178128.31366584	2914.3136658357
660	4.6368786877812	178266.91314664	3052.9131466417
690	4.6361157736773	178405.49082538	3191.4908253811
720	4.6352584255332	178544.04115613	3330.0411561282
750	4.6342990000445	178682.56212913	3468.562129132
780	4.6332293932073	178821.05226888	3607.0522688771
810	4.6320414749045	178959.50569871	3745.5056987141
840	4.6307265890764	179097.91969656	3883.9196965556
870	4.6293180237236	179236.2035688	4022.2035687993
900	4.6277368482637	179374.35853656	4160.358536561
930	4.6260019724117	179512.4620392	4298.462039205
960	4.624105450369	179650.50817465	4436.5081746488
990	4.6220378848971	179788.49162594	4574.4916259397
1020	4.6197896454794	179926.40944204	4712.4094420422
1050	4.6173511230202	180064.25371112	4850.253711116
1080	4.6147125534472	180202.02115141	4988.0211514096
1110	4.611863982928	180339.70135796	5125.7013579647
1140	4.6087956522243	180477.29150694	5263.291506937
1170	4.6054975910503	180614.78353384	5400.7835338447
1200	4.60195994837	180752.17054445	5538.1705444463
1230	4.5981727250822	180889.4447541	5675.4447541044
1260	4.5941262487222	181026.59982826	5812.5998282613
1290	4.5898107573213	181163.62294516	5949.6229451582
1320	4.5852166496427	181300.5115608	6086.511560803
1350	4.5803342650236	181437.25244639	6223.2524463868
1380	4.5751544668423	181573.83830063	6359.838300632
1410	4.5696679651968	181710.25851506	6496.2585150558
1440	4.5638658166361	181846.50416022	6632.5041602174
1470	4.5577393499139	181982.5661286	6768.566128599
1500	4.5512800109011	182118.42971587	6904.429715875
1530	4.5444797141382	182254.08553469	7040.0855346928
1560	4.5373303579424	182389.52114489	7175.5211448908
1590	4.5298244293551	182524.72484408	7310.7248440756
1620	4.5219546118835	182659.68421752	7445.6842175222
1650	4.5137140166724	182794.38959804	7580.3895980369
1680	4.5050960200852	182928.8346765	7714.834676502
1710	4.4960945416605	183063.00408715	7849.0040871495
1740	4.4867037790366	183196.88628015	7982.886280154
1770	4.476919265362	183330.47023989	8116.4702398927
1800	4.4667379486293	183463.7510055	8249.7510054987
1830	4.4561587280257	183596.71514466	8382.7151446572
1860	4.4451812302291	183729.35670442	8515.3567044175
1890	4.433806801405	183861.66489825	8647.6648982525
1920	4.4220382717864	183993.6289905	8779.6289905037
1950	4.4098796296567	184125.23949208	8911.2394920754
1980	4.3973368417708	184256.48531113	9042.4853111287
2010	4.3844170923891	184387.35576288	9173.3557628829
2040	4.3711290698502	184517.83952655	9303.8395265474
2070	4.3574831732052	184647.92693494	9433.9269349393
2100	4.343491211808	184777.60498823	9563.6049882319
2130	4.3291664071302	184906.86727555	9692.8672755516
2160	4.314523383474	185035.70094972	9821.7009497199
2190	4.2995780902837	185164.09965075	9950.0996507533
2220	4.2843476911352	185292.05302456	10078.053024555
2250	4.2688505938238	185419.54931784	10205.549317838
2280	4.2531061023217	185546.589421	10332.589421005
2310	4.2371347604377	185673.15646736	10459.156467355
2340	4.2209576970874	185799.25035515	10585.250355151
2370	4.2045969584416	185924.86276552	10710.862765521
2400	4.1880751365278	186049.98917014	10835.989170139
2430	4.1714154621588	186174.62593109	10960.625931086
2460	4.1546415870471	186298.76717173	11084.767171733
