"Time"	"convect"	"energy"	"energyRef"
30	5.1882490435028	205931.63695006	148.3630499391
60	5.1882112239162	205775.89846549	304.10153450913
90	5.1881554716557	205620.42557454	459.57442545795
120	5.1880871773881	205465.29123911	614.70876089358
150	5.1879854823473	205310.04893633	769.95106367493
180	5.1878488009786	205154.6605062	925.33949380371
210	5.1876726778616	204999.16538068	1080.8346193247
240	5.1874602459672	204843.66353902	1236.3364609825
270	5.187189743368	204688.17970891	1391.8202910924
300	5.186859298424	204532.66901417	1547.330985831
330	5.1864622454728	204377.14682053	1702.8531794699
360	5.1859895675179	204221.6231005	1858.3768995006
390	5.185433900707	204066.10950559	2013.8904944079
420	5.184785665372	203910.62297882	2169.3770211773
450	5.184036153702	203755.19867829	2324.8013217129
480	5.1831757251872	203599.88046255	2480.1195374455
510	5.1821967602728	203444.6584609	2635.3415390991
540	5.1810874929839	203289.5198007	2790.4801993045
570	5.1798384966915	203134.46392223	2945.5360777696
600	5.1784392158467	202979.48756917	3100.5124308314
630	5.1768794159931	202824.5903345	3255.409665504
660	5.1751486442263	202669.77873088	3410.2212691204
690	5.1732364792692	202515.05336888	3564.9466311214
720	5.1711323362252	202360.41577488	3719.5842251151
750	5.1688260333463	202205.8755652	3874.1244347974
780	5.1663071361057	202051.43446975	4028.5655302486
810	5.1635654994303	201897.097373	4182.9026270037
840	5.1605912095648	201742.86956641	4337.1304335865
870	5.15737444707	201588.75588361	4491.244116394
900	5.1539056482878	201434.76879023	4645.231209775
930	5.1501757669935	201280.9072178	4799.0927822026
960	5.1461757802477	201127.18302137	4952.816978634
990	5.1418972335202	200973.60001694	5106.3999830587
1020	5.1373320624537	200820.16873668	5259.8312633155
1050	5.1324724239549	200666.89569324	5413.104306764
1080	5.1273111180513	200513.78943443	5566.2105655695
1110	5.1218415604613	200360.85484475	5719.1451552531
1140	5.1160573862524	200208.10388097	5871.8961190314
1170	5.1099529686953	200055.54585412	6024.4541458796
1200	5.1035231833603	199903.18753123	6176.8124687682
1230	5.0967633896521	199751.03695136	6328.9630486379
1260	5.0896697719729	199599.10678366	6480.8932163421
1290	5.0822389660228	199447.40384605	6632.5961539517
1320	5.0744682617699	199295.9388233	6784.0611766994
1350	5.0663555566861	199144.72056852	6935.2794314793
1380	5.0578995275959	198993.75885066	7086.2411493442
1410	5.0490993730133	198843.06287896	7236.9371210371
1440	5.0399550186497	198692.64379619	7387.3562038118
1470	5.0304669204814	198542.50928522	7537.4907147764
1500	5.0206365825883	198392.66998	7687.3300199973
1530	5.0104657059391	198243.13620917	7836.863790834
1560	4.9999570337899	198093.91682583	7986.08317417
1590	4.9891138442683	197945.02353242	8134.9764675849
1620	4.9779402478315	197796.46162042	8283.5383795823
1650	4.966441007818	197648.24330102	8431.7566989755
1680	4.9546217651955	197500.37707117	8579.622928825
1710	4.9424882965081	197352.86918908	8727.1308109178
1740	4.9300468634855	197205.73273089	8874.2672691125
1770	4.9173043821082	197058.9742601	9021.0257399022
1800	4.9042680172572	196912.60512297	9167.3948770253
1830	4.8909450947586	196766.6310181	9313.3689819045
1860	4.877343489673	196621.06069682	9458.9393031761
1890	4.8634711838273	196475.90464045	9604.0953595511
1920	4.8493361921151	196331.16920897	9748.8307910329
1950	4.8349468287466	196186.86295023	9893.1370497694
1980	4.8203112474428	196042.99293655	10037.00706345
2010	4.8057245022215	195899.61218489	10180.387815111
2040	4.7906831039174	195756.80459635	10323.19540365
2070	4.7754026256008	195614.45574181	10465.544258187
2100	4.7599089596286	195472.56750382	10607.432496179
2130	4.7442098708693	195331.14817581	10748.851824186
2160	4.728312771402	195190.20310022	10889.796899784
2190	4.7122249902224	195049.73904409	11030.260955911
2220	4.6959533133488	194909.76206216	11170.237937841
2250	4.6795042444567	194770.27296851	11309.72703149
2280	4.6628839068991	194631.28504283	11448.714957167
2310	4.6460978891443	194492.79762368	11587.202376315
2340	4.6291512915705	194354.81686754	11725.183132464
2370	4.6120486337756	194217.34806589	11862.651934106
2400	4.5947939981583	194080.39737526	11999.602624739
2430	4.5773908334374	193943.96606766	12136.03393234
2460	4.5598418726987	193808.06274177	12271.937258231
2490	4.5421492191261	193672.69146794	12407.30853206
2520	4.5243143306116	193537.85382347	12542.146176526
2550	4.506338156733	193403.55764391	12676.442356091
2580	4.488220604588	193269.80532059	12810.194679408
2610	4.4699611676461	193136.60143273	12943.398567273
2640	4.4515585420205	193003.95076308	13076.049236917
2670	4.4330105725839	192871.85875581	13208.141244187
2700	4.4143143178092	192740.32973569	13339.670264315
2730	4.3954663024994	192609.36756958	13470.632430417
2760	4.3764620010376	192478.9779561	13601.022043904
2790	4.357296187529	192349.16669555	13730.833304453
2820	4.3379628234707	192219.93633189	13860.063668106
2850	4.3184549690836	192091.29866929	13988.701330713
2880	4.298764904139	191963.25279189	14116.747208111
2910	4.2788839183379	191835.80806165	14244.191938347
2940	4.2588024579604	191708.96758225	14371.032417752
2970	4.2385099473548	191582.74402283	14497.255977174
3000	4.2179949124794	191457.1397239	14622.860276097
3030	4.1972447527126	191332.16465795	14747.835342046
3060	4.1762458918637	191207.82671137	14872.173288631
3090	4.1549835802496	191084.13331266	14995.866687335
3120	4.1334419989948	190961.09540107	15118.904598929
3150	4.111604190418	190838.72534042	15241.274659583
3180	4.0894522344561	190717.02725198	15362.972748017
3210	4.0669675222898	190596.01655245	15483.98344755
3240	4.0441312918531	190475.70357047	15604.296429534
3270	4.0209256592083	190356.09558187	15723.904418127
3300	3.9973346122928	190237.19680966	15842.803190341
3330	3.9733440204208	190119.00628705	15960.993712951
3360	3.9489402721695	190001.54080442	16078.459195582
3390	3.9241101215688	189884.80509359	16195.194906407
3420	3.8988412887479	189768.81889602	16311.181103984
3450	3.8731226355802	189653.58918224	16426.41081776
3480	3.8469442453519	189539.1316233	16540.868376697
3510	3.8202975091683	189425.46021121	16654.539788793
3540	3.7931752259802	189312.58736067	16767.412639333
3570	3.765571452211	189200.52818305	16879.471816951
3600	3.7374818018226	189089.29504219	16990.704957812
3630	3.7089033222861	188978.90528816	17101.094711836
3660	3.6798344944821	188869.36853729	17210.63146271
3690	3.6502753079892	188760.70554862	17319.294451381
3720	3.620227227429	188652.92573494	17427.07426506
3750	3.5896931894095	188546.04502169	17533.954978305
3780	3.5586775112594	188440.07745177	17639.922548233
3810	3.5271859781018	188335.03645746	17744.963542536
3840	3.4952257516284	188230.93674312	17849.063256884
3870	3.4628052338047	188127.79825371	17952.201746287
3900	3.4299363575263	188025.68377664	18054.316223363
3930	3.3966500136527	187924.51505759	18155.484942406
3960	3.3629746935463	187824.30262856	18255.697371435
3990	3.3289379980127	187725.06007385	18354.93992615
4020	3.2945706715751	187626.80825473	18453.191745271
4050	3.2599060948554	187529.55709235	18550.442907652
4080	3.2249797894072	187433.31981569	18646.680184308
4110	3.1898298599559	187338.10629542	18741.893704581
4140	3.1544955439591	187243.91887213	18836.08112787
4170	3.1190182895571	187150.77230117	18929.227698833
4200	3.0834400779051	187058.66322396	19021.336776038
4230	3.0478046044569	186967.60023967	19112.399760334
4260	3.012155442683	186877.58319554	19202.416804465
4290	2.9765371453824	186788.61153158	19291.388468421
4320	2.9409942955756	186700.68763952	19379.312360475
4350	2.90557093928	186613.80836483	19466.191635173
4380	2.8703111529412	186527.96734714	19552.032652858
4410	2.8352584468497	186443.16026156	19636.839738442
4440	2.8004550877749	186359.38461554	19720.615384456
4470	2.7659425226901	186276.63140328	19803.368596719
4500	2.7317610025571	186194.88988891	19885.110111093
4530	2.6979495828494	186114.14999815	19965.850001851
4560	2.6645453192062	186034.40145321	20045.598546794
4590	2.631583726972	185955.63575692	20124.364243077
4620	2.5990983375256	185877.83332062	20202.16667938
4650	2.5671210340064	185800.98305276	20279.016947238
4680	2.5356815149103	185725.06938398	20354.930616023
4710	2.5048073485233	185650.07547291	20429.924527089
4740	2.4745240484592	185575.98758195	20504.012418052
4770	2.4448546501816	185502.78444309	20577.215556908
4800	2.4158204141287	185430.44728165	20649.552718352
4830	2.3874399519197	185358.96098652	20721.039013481
4860	2.359730078188	185288.30296697	20791.697033026
