#x	Tc	Tg	u	p
0.0	370.7035060365793	299.99999999999994	1.6092949310635332	150000.0
0.25	376.0451700926069	306.04504921536613	1.64999516611382	149247.93614377276
0.5	382.083100910501	312.0831008897317	1.6912851361885648	148476.96038535974
0.75	388.1211513617751	318.1211513617715	1.7332315046567943	147686.77899492942
1.0	394.1592018336047	324.1592018336047	1.775865074594945	146877.08200112203
1.25	400.19725230543787	330.19725230543787	1.8192184094982071	146047.54481701265
1.5	406.23530277727104	336.23530277727104	1.8633259812477971	145197.827392961
1.75	412.2733532491043	342.2733532491043	1.908224325488621	144327.57330060203
2.0	418.31140372093745	348.31140372093745	1.9539522125427768	143436.40874161274
2.25	424.3494541927706	354.3494541927706	2.0005508357448356	142523.9414736596
2.5	430.3875046646038	360.3875046646038	2.0480640193524757	141589.75964500074
2.75	436.42555513643697	366.42555513643697	2.0965384484991354	140633.4305281529
3.0	442.46360560827014	372.46360560827014	2.14602392402114	139654.4991418119
3.25	448.5016560801033	378.5016560801033	2.1965736454203166	138652.48674881263
3.5	454.5397065519365	384.5397065519365	2.24824452572678	137626.88921629667
3.75	460.57775702376966	390.57775702376966	2.3010975426203646	136577.17522238384
4.0	466.61580749560284	396.61580749560284	2.3551981308715124	135502.7842914768
4.25	472.653857967436	402.653857967436	2.410616621995963	134403.12463780397
4.5	478.6919084392692	408.6919084392692	2.4674287380104216	133277.57079386414
4.75	484.72995891110236	414.72995891110236	2.525716147363218	132125.4609969922
5.0	490.7680093829356	420.7680093829356	2.5855670925383243	130946.09430321999
5.25	496.8060598547687	426.8060598547687	2.6470771005473237	129738.72739284023
5.5	502.84411032660194	432.84411032660194	2.710349789600617	128502.57102644097
5.75	508.8821607984351	438.8821607984351	2.775497787773047	127236.7861034818
6.0	514.9202112702683	444.9202112702683	2.842643782560823	125940.47926749664
6.25	520.9582617421014	450.9582617421014	2.9119217240075588	124612.69799244474
6.5	526.9963122139346	456.99631221393463	2.9834782087397667	123252.42507322795
6.75	533.0343626857677	463.0343626857678	3.057474078032588	121858.57242948921
7.0	539.072413157601	469.072413157601	3.1340862702333716	120429.97411492073
7.25	545.1104636294342	475.1104636294342	3.213509976909201	118965.3784036933
7.5	551.1485141012673	481.1485141012673	3.2959611634913917	117463.43880030715
7.75	557.1865645731004	487.1865645731005	3.3816795296812456	115922.70378790879
8.0	563.2246150449337	493.22461504493367	3.4709320034203226	114341.60509128441
8.25	569.2626655167669	499.2626655167669	3.5640168861223276	112718.44418217272
8.5	575.3007159886	505.3007159886	3.6612687979028076	111051.37669337749
8.75	581.3387664604332	511.33876646043325	3.763064612203777	109338.39433056401
9.0	587.3768169322664	517.3768169322664	3.8698306229544555	107577.30377140088
9.25	593.414867404095	523.4148674040996	3.982051259129142	105765.70191375722
9.5	599.4529178512528	529.4529178756871	4.100279758255232	103900.94666817399
9.75	605.4908365810105	535.4909670366752	4.225151331885778	101980.12227147937
10.0	610.8255127830198	541.522018873327	4.357343200160679	100000.00000000004
