"Time"	"convect"	"energy"	"energyRef"
4170	3.6856259718889	193248.05268729	18034.052687293
4200	3.6714409045588	193357.24121371	18143.241213714
4230	3.6570394108639	193466.01827362	18252.018273623
4260	3.6424103934222	193574.38045807	18360.380458069
4290	3.6275428512603	193682.31285921	18468.312859213
4320	3.6124262088244	193789.8118137	18575.8118137
4350	3.5970500946529	193896.86765427	18682.867654267
4380	3.5814051095096	194003.46598179	18789.465981786
4410	3.5654825691656	194109.60506629	18895.60506629
4440	3.5492749076941	194215.27559674	19001.275596737
4470	3.5327753066624	194320.46866912	19106.468669122
4500	3.5159777774808	194425.18026396	19211.180263958
4530	3.4988772677687	194529.39664368	19315.396643677
4560	3.4814695508835	194633.10976925	19419.109769251
4590	3.4637513288549	194736.31211048	19522.31211048
4620	3.4457202984925	194838.99272818	19624.992728182
4650	3.4273750532696	194941.14215869	19727.142158694
4680	3.4087151576527	195042.75200683	19828.752006828
4710	3.3897411332058	195143.81031579	19929.810315787
4740	3.3704544992219	195244.30899566	20030.308995657
4770	3.3508576554563	195344.23685285	20130.236852851
4800	3.3309540397638	195443.58676417	20229.586764166
4830	3.3107479568451	195542.34753602	20328.347536016
4860	3.2902445794143	195640.51062057	20426.510620568
4890	3.2694499980909	195738.0684367	20524.068436704
4920	3.2483711757541	195835.00862059	20621.008620594
4950	3.2270159323135	195931.32542281	20717.325422812
4980	3.20539275661	196027.01049904	20813.010499038
5010	3.1835109494485	196122.05291007	20908.052910071
5040	3.1613805938844	196216.44945046	21002.449450463
5070	3.1390123388194	196310.18851957	21096.188519574
5100	3.1164175544672	196403.26538557	21189.265385572
5130	3.0936080867519	196495.67348495	21281.67348495
5160	3.0705964796559	196587.40350668	21373.403506683
5190	3.0473955564446	196678.45417878	21464.454178779
5220	3.0240187333889	196768.81527436	21554.815274359
5250	3.0004797976439	196858.48338448	21644.483384476
5280	2.9767928608426	196947.45301408	21733.453014083
5310	2.9529723358236	197035.72319647	21821.723196467
5340	2.9290329045827	197123.2864014	21909.2864014
5370	2.904989458065	197210.13998313	21996.13998313
5400	2.8808570343723	197296.28043094	22082.280430943
5430	2.856650794691	197381.70687988	22167.706879877
5460	2.8323859545797	197466.41566657	22252.41566657
5490	2.8080777771601	197550.40373822	22336.40373822
5520	2.7837415958754	197633.67094218	22419.670942176
5550	2.7593926054346	197716.21921187	22502.219211865
5580	2.735046099038	197798.04213637	22584.042136371
5610	2.7107171958834	197879.14465102	22665.144651022
5640	2.6864210114136	197959.52736639	22745.527366393
5670	2.6621724536304	198039.18555064	22825.185550636
5700	2.6379862334561	198118.12734451	22904.127344514
5730	2.6138768986357	198196.35239185	22982.352391854
