Time,"Gradients:0","Gradients:1","Gradients:2","Gradients:3","Gradients:4","Gradients:5","Gradients:6","Gradients:7","Gradients:8","Points:0","Points:1","Points:2"
5040,0,0,0,0,2.0013e-05,0,0,0,0,0.005,0.1,0.005
5100,0,0,0,0,2.0013e-05,0,0,0,0,0.005,0.1,0.005
5160,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5220,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5280,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5340,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5400,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5460,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5520,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5580,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5640,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5700,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5760,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5820,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5880,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
5940,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6000,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6060,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6120,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6180,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6240,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6300,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6360,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6420,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6480,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6540,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6600,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6660,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6720,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6780,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6840,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6900,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
6960,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7020,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7080,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7140,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7200,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7260,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7320,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7380,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7440,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7500,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7560,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7620,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7680,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7740,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7800,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7860,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7920,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
7980,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8040,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8100,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8160,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8220,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8280,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8340,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8400,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8460,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8520,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8580,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8640,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8700,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8760,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8820,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8880,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
8940,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9000,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9060,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9120,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9180,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9240,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9300,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9360,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9420,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9480,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9540,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9600,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9660,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9720,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9780,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9840,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9900,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
9960,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10020,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10080,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10140,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10200,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10260,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10320,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10380,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10440,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10500,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10560,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10620,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10680,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10740,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10800,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10860,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10920,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
10980,0,0,0,0,1.2588e-05,0,0,0,0,0.005,0.1,0.005
11040,0,0,0,0,5.1263e-05,0,0,0,0,0.005,0.1,0.005
11100,0,0,0,0,0.00098172,0,0,0,0,0.005,0.1,0.005
11160,0,0,0,0,0.0034867,0,0,0,0,0.005,0.1,0.005
11220,0,0,0,0,0.022498,0,0,0,0,0.005,0.1,0.005
11280,0,0,0,0,0.054221,0,0,0,0,0.005,0.1,0.005
11340,0,0,0,0,0.067167,0,0,0,0,0.005,0.1,0.005
11400,0,0,0,0,0.086766,0,0,0,0,0.005,0.1,0.005
11460,0,0,0,0,0.10599,0,0,0,0,0.005,0.1,0.005
11520,0,0,0,0,0.129,0,0,0,0,0.005,0.1,0.005
11580,0,0,0,0,0.14508,0,0,0,0,0.005,0.1,0.005
11640,0,0,0,0,0.15951,0,0,0,0,0.005,0.1,0.005
11700,0,0,0,0,0.1738,0,0,0,0,0.005,0.1,0.005
11760,0,0,0,0,0.18833,0,0,0,0,0.005,0.1,0.005
11820,0,0,0,0,0.20211,0,0,0,0,0.005,0.1,0.005
11880,0,0,0,0,0.20978,0,0,0,0,0.005,0.1,0.005
11940,0,0,0,0,0.21485,0,0,0,0,0.005,0.1,0.005
12000,0,0,0,0,0.21807,0,0,0,0,0.005,0.1,0.005
12060,0,0,0,0,0.21858,0,0,0,0,0.005,0.1,0.005
12120,0,0,0,0,0.21718,0,0,0,0,0.005,0.1,0.005
12180,0,0,0,0,0.21343,0,0,0,0,0.005,0.1,0.005
12240,0,0,0,0,0.20894,0,0,0,0,0.005,0.1,0.005
12300,0,0,0,0,0.20404,0,0,0,0,0.005,0.1,0.005
12360,0,0,0,0,0.19874,0,0,0,0,0.005,0.1,0.005
12420,0,0,0,0,0.19326,0,0,0,0,0.005,0.1,0.005
12480,0,0,0,0,0.18832,0,0,0,0,0.005,0.1,0.005
12540,0,0,0,0,0.18343,0,0,0,0,0.005,0.1,0.005
