"Time"	"convect"	"energy"	"energyRef"
30	5.1882153373434	205931.95774847	148.04225153488
60	5.1881770068426	205776.6675676	303.33243239837
90	5.1881168158525	205621.53089174	458.46910825963
120	5.1880416469488	205466.60602935	613.39397065245
150	5.1879317653169	205311.81976409	768.18023590773
180	5.1877883623221	205157.10091487	922.89908513185
210	5.1876047751782	205002.44057766	1077.5594223361
240	5.1873737583907	204847.83442768	1232.1655723159
270	5.1870874585932	204693.28004813	1386.7199518719
300	5.1867532854313	204538.81877898	1541.1812210159
330	5.1863426677484	204384.61096858	1695.3890314213
360	5.1858509248762	204230.66272251	1849.3372774864
390	5.1852671927318	204076.58753083	2003.4124691722
420	5.1846027707445	203922.446526	2157.553474001
450	5.1838340282252	203768.53341246	2311.4665875367
480	5.1829254903462	203614.60205862	2465.3979413777
510	5.1818826932698	203460.65539	2619.3446099977
540	5.1806929800612	203306.70014805	2773.2998519492
570	5.1793441811198	203152.7478062	2927.2521937983
600	5.1778229604953	202998.80874425	3081.1912557464
630	5.1761157237777	202844.88548022	3235.1145197804
660	5.1742085972813	202690.98745269	3389.0125473109
690	5.1720879838085	202537.12539759	3542.8746024122
720	5.1697393885879	202383.30618351	3696.6938164921
750	5.1671485089586	202229.53881618	3850.4611838223
780	5.1643006976022	202075.83123285	4004.1687671506
810	5.1611818035962	201922.1904804	4157.8095196007
840	5.1577770258925	201768.62782875	4311.3721712525
870	5.1540720638127	201615.15439518	4464.845604816
900	5.1500524021742	201461.77737908	4618.2226209168
930	5.1457038347383	201308.50721083	4771.4927891676
960	5.1410123366848	201155.35627997	4924.6437200269
990	5.1359640469855	201002.33369413	5077.6663058716
1020	5.1305454696489	200849.45184237	5230.5481576296
1050	5.1247436161247	200696.72665013	5383.2733498717
1080	5.1185475191728	200544.16699614	5535.8330038628
1110	5.1119472105605	200391.78089389	5688.2191061098
1140	5.1049347463196	200239.58136883	5840.4186311708
1170	5.0975029890773	200087.57699435	5992.4230056517
1200	5.0896465582565	199935.78059205	6144.2194079453
1230	5.0813610319512	199784.20241423	6295.7975857709
1260	5.0726436884297	199632.85630019	6447.1436998093
1290	5.0634929653783	199481.75675071	6598.2432492895
1320	5.0539089196386	199330.91218641	6749.0878135905
1350	5.0438928093195	199180.33962663	6899.6603733697
1380	5.0334474613744	199030.05405551	7049.945944493
1410	5.0225767023004	198880.06295239	7199.937047607
1440	5.0112859467722	198730.38371813	7349.6162818678
1470	4.9995817757444	198581.03065009	7498.9693499093
1500	4.9874721506943	198432.01099875	7647.9890012515
1530	4.974965651973	198283.33857791	7796.6614220853
1560	4.9620739482329	198135.04320325	7944.9567967482
1590	4.9488068880216	197987.12365366	8092.8763463419
1620	4.9351771031794	197839.59348865	8240.4065113497
1650	4.921197919737	197692.46479221	8387.5352077931
1680	4.9068833521426	197545.75099662	8534.2490033835
1710	4.8922482093772	197399.46545786	8680.534542141
1740	4.8773080848181	197253.6333361	8826.366663897
1770	4.8620795310218	197108.2658758	8971.7341241972
1800	4.8465791664455	196963.36531566	9116.6346843439
1830	4.8308243880293	196818.93572607	9261.0642739332
1860	4.8148327440989	196674.98685059	9405.0131494088
1890	4.7986223832199	196531.522378	9548.4776220013
1920	4.7826834550711	196388.62671819	9691.3732818055
1950	4.7661457174179	196246.31734844	9833.6826515643
1980	4.7494309891081	196104.51016411	9975.4898358918
2010	4.7325701876072	195963.20656435	10116.79343565
2040	4.7155821850752	195822.41522417	10257.584775825
2070	4.6984854644422	195682.13624551	10397.863754489
2100	4.6812987738341	195542.37636998	10537.623630018
2130	4.6640406004096	195403.13315527	10676.866844726
2160	4.6467293053359	195264.4121473	10815.587852701
2190	4.6293835966223	195126.21204871	10953.787951291
